Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18, C19, C2, C20, C9",0805,7,22uF,C338080
C10,0805,1,220nF,C107131
"C11, C12, C13, C14, C15, C16, C22",0402,7,1uF,C307413
"C21, C3, C5, C7",0402,4,10uF,C15525
"C23, C4, C6, C8",0402,4,100nF,C131394
C24,0805,1,10uf 25v,C15850
D1,D_SMA,1,SS210,C14996
D2,LED_Kingbright_AAA3528ESGCT,1,LED_RGBA,C2843813
D3,0603,1,LED_Blue,C965799
D4,0603,1,LED_Pink,C2977076
D5,0603,1,LED_White,C965808
IC1,STSPIN32G4,1,STSPIN32G4,C7434864
J2,PinHeader_1x07_P2.54mm_Vertical,1,Debug,
J3,TE_1-84952-1_1x11-1MP_P1.0mm_Horizontal,1,FFC_11P_1mm,C2914070
J4,Molex_SPOX_5268-02A_1x02_P2.50mm_Horizontal,1,POWER,
J5,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,CAN,C3021286
"JP1, JP2, JP3, JP4, JP5",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,5,Jumper_2_Open,C20197
L1,L_Bourns-SRN6028,1,18uh,C467143
"R1, R14, R15",0402,3,22k,C325408
R10,2512,1,4mΩ,DNP
"R11, R2",0402,2,10k,C25744
"R12, R13, R16",0402,3,1.5k,C25867
"R17, R18",0402,2,1k,C11702
R19,2512,1,4mΩ,C5121077
R3,0603,1,120,C22787
"R4, R5, R6, R7, R8, R9",0402,6,51,C25125
RN1,R_Array_Convex_4x0603,1,1k,C20197
SW1,SKRPACE010,1,SW_Push,C3021286
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.0mm,4,TestPoint_Small,C22787
TVS1,D_SMB,1,16V,C25744
"U1, U2, U3",SIZ254DTT1GE3,3,~,C25768
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,C53609
U5,AS5048A_SOP65P640X120-14N,1,AS5048A-HTSP-500,
U6,AP7375-33SA-7_DIO,1,AP7375-50SA,C6500991
