Designator,Mid X,Mid Y,Rotation,Layer
C1,-11.303,5.207,180.0,bottom
C10,0.635,8.509,270.0,top
C11,5.969,1.016,270.0,top
C12,2.54,15.113,0.0,top
C13,5.969,-1.016,270.0,top
C14,5.969,-3.2004,270.0,top
C15,1.143,-5.588,180.0,top
C16,-6.096,-4.3688,0.0,top
C17,-11.303,11.303,180.0,bottom
C18,-11.303,3.175,180.0,bottom
C19,-11.303,1.143,180.0,bottom
C2,-11.303,7.239,180.0,bottom
C20,-11.303,16.891,180.0,bottom
C21,6.858,18.669,90.0,top
C22,2.032,18.669,90.0,top
C23,5.588,5.362,270.0,top
C24,-8.0274,8.89,90.0,top
C3,-6.096,0.7112,180.0,top
C4,-6.096,3.739,180.0,top
C5,-6.096,1.707,180.0,top
C6,-6.096,2.723,180.0,top
C7,-6.096,5.771,180.0,top
C8,-6.096,4.755,180.0,top
C9,-11.303,9.271,180.0,bottom
D1,-3.556,15.494,180.0,top
D2,4.064,11.684,0.0,top
D3,-4.318,18.9992,270.0,top
D4,-2.6924,18.9992,270.0,top
D5,0.1016,18.9992,270.0,top
IC1,0.018,0.007055,0.0,top
J2,13.589,-7.62,180.0,bottom
J3,0.224,-18.798,180.0,top
J4,-10.073,14.224,180.0,top
J5,12.303,14.568,180.0,top
L1,-3.7084,10.287,180.0,top
R1,2.5654,16.129,180.0,top
R10,-13.081,-4.064,270.0,bottom
R11,-5.6896,18.288,90.0,top
R12,-6.096,-2.3368,0.0,top
R13,-6.096,-5.3848,0.0,top
R14,-6.096,-0.3048,180.0,top
R15,-6.096,-1.3208,180.0,top
R16,-6.096,-3.3528,0.0,top
R17,-1.3716,18.288,90.0,top
R18,1.143,15.494,90.0,top
R19,-13.081,-4.064,270.0,top
R2,2.5654,14.097,0.0,top
R3,9.0424,11.6332,0.0,top
R4,-8.636,-7.493,270.0,top
R5,-3.556,-7.493,270.0,top
R6,-2.54,-7.493,270.0,top
R7,2.54,-7.493,270.0,top
R8,3.556,-7.493,270.0,top
R9,8.636,-7.493,270.0,top
RN1,4.191,8.255,270.0,top
SW1,9.144,-1.397,90.0,top
TVS1,-11.176,-10.541,0.0,bottom
U1,-6.096,-8.89,0.0,top
U2,0.0,-8.89,0.0,top
U3,6.096,-8.89,0.0,top
U4,9.0424,7.112,90.0,top
U5,0.0,0.0,270.0,bottom
U6,4.445,18.7478,0.0,top
