Designator,Mid X,Mid Y,Layer,Rotation
.,21.59, 6.51,Top,0.0
BEAD,38.09,40.05,Top,90.0
C1,19.55,21.19,Top,180.0
C3,23.11,21.18,Top,180.0
C4,18.15,29.33,Top,270.0
C7,25.76,23.18,Top,270.0
C8,15.94,29.29,Top,90.0
C9,12.98,29.29,Top,90.0
C10,17.03,35.25,Top,0.0
C11,35.04,24.39,Top,180.0
C12,19.65,39.60,Top,90.0
C14,26.20,41.43,Top,180.0
C15,21.70,31.49,Top,90.0
C16,10.02,29.29,Top,90.0
C18,16.73,40.36,Top,0.0
C23,32.88,42.33,Top,180.0
C24, 7.11,29.29,Top,90.0
C25,23.81,40.41,Top,90.0
D3,14.05,39.53,Top,90.0
D6,41.43,24.77,Top,90.0
JP1,35.34,46.90,Top,90.0
JP2,10.36,48.06,Top,180.0
NUCLEO_MAIN,31.72,34.01,Top,180.0
Q2,12.22,15.24,Top,180.0
Q3,21.59,15.24,Top,180.0
Q4,30.88,15.24,Top,180.0
R1,16.12,14.87,Top,270.0
R2, 8.51,14.87,Top,270.0
R3,25.28,14.92,Top,270.0
R4,17.72,14.87,Top,270.0
R5,35.32,14.89,Top,270.0
R6,26.85,14.87,Top,270.0
R7,28.15,25.05,Top,270.0
R10,30.34,10.40,Top,180.0
R13,12.72,10.46,Top,0.0
R18,32.58,24.55,Top,90.0
R19,11.96,45.31,Top,90.0
R20,14.05,36.44,Top,270.0
R21,39.53,32.23,Top,90.0
R23,41.43,21.59,Top,270.0
R24,23.67,36.46,Top,0.0
R27, 8.84,46.24,Top,0.0
REG,16.93,37.89,Top,0.0
S1,38.56,23.22,Top,90.0
SJ1,38.52,19.11,Top,0.0
SJ2,38.49,16.53,Top,0.0
U$1,20.56,35.69,Top,270.0
U1,21.53,25.19,Top,270.0
U3,33.50,46.93,Top,90.0
