Designator,Mid X,Mid Y,Layer,Rotation
.,21.59, 6.51,Top,0.0
BEAD,38.09,40.05,Top,90.0
C1,19.55,21.19,Top,180.0
C3,23.11,21.18,Top,180.0
C4,18.12,27.57,Top,270.0
C7,25.76,23.18,Top,270.0
C8,14.78,27.99,Top,90.0
C9,11.77,27.99,Top,90.0
C10,18.90,34.84,Top,0.0
C11,34.77,24.39,Top,180.0
C12,21.76,39.13,Top,90.0
C14,24.25,40.02,Top,180.0
C15,22.80,31.52,Top,90.0
C16, 8.70,27.99,Top,90.0
C18,18.90,39.92,Top,0.0
C23,32.88,42.33,Top,180.0
C24, 5.57,27.99,Top,90.0
D3,15.73,39.13,Top,90.0
D6,41.43,24.77,Top,90.0
JP2,10.36,48.06,Top,180.0
NUCLEO_MAIN,31.72,34.01,Top,180.0
Q2,12.22,15.24,Top,180.0
Q3,21.59,15.24,Top,180.0
Q4,30.88,15.24,Top,180.0
R1,16.12,14.87,Top,270.0
R2, 8.51,14.87,Top,270.0
R3,25.28,14.92,Top,270.0
R4,17.72,14.87,Top,270.0
R5,35.32,14.89,Top,270.0
R6,26.85,14.87,Top,270.0
R7,28.15,25.05,Top,270.0
R18,32.40,25.28,Top,90.0
R19,11.96,45.31,Top,90.0
R20,15.73,36.03,Top,270.0
R21,39.53,32.23,Top,90.0
R23,41.43,21.59,Top,270.0
R27, 8.84,46.24,Top,0.0
REG,18.90,37.38,Top,0.0
S1,38.50,23.26,Top,90.0
U1,21.53,25.19,Top,270.0
U3,33.50,46.83,Top,90.0
